Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
paramedics	255	192	185	149	5.0	2.4082	2.29	2.2856	4.0
universal	299	191	167	133	5.86	2.4771	2.28	2.2833	4.0
historical	269	189	237	176	5.27	2.4314	2.25	2.2788	4.0
inherited	215	189	207	181	4.22	2.3345	2.25	2.2788	4.0
introduction	218	189	202	177	4.27	2.3404	2.25	2.2788	4.0
occasional	199	188	191	182	3.9	2.301	2.24	2.2765	4.0
psychiatric	242	188	201	160	4.75	2.3856	2.24	2.2765	4.0
monitoring	230	187	227	184	4.51	2.3636	2.23	2.2742	4.0
evacuate	286	186	234	158	5.61	2.4579	2.22	2.2718	4.0
introducing	203	186	158	147	3.98	2.3096	2.22	2.2718	4.0
phenomenon	234	186	234	186	4.59	2.3711	2.22	2.2718	4.0
artificial	246	185	217	169	4.82	2.3927	2.21	2.2695	4.0
represented	213	185	213	185	4.18	2.3304	2.21	2.2695	4.0
Commissioner	624	184	222	102	12.24	2.7959	2.19	2.2672	4.0
separation	248	184	219	175	4.86	2.3962	2.19	2.2672	4.0
successfully	194	184	185	175	3.8	2.29	2.19	2.2672	4.0
supermarket	255	184	243	177	5.0	2.4082	2.19	2.2672	4.0
Affirmative	241	183	95	72	4.73	2.3838	2.18	2.2648	4.0
preparation	206	183	180	164	4.04	2.316	2.18	2.2648	4.0
academic	238	181	215	172	4.67	2.3784	2.16	2.2601	4.0
materials	214	181	205	176	4.2	2.3324	2.16	2.2601	4.0
complications	207	180	195	171	4.06	2.3181	2.15	2.2577	4.0
establishment	210	179	205	175	4.12	2.3243	2.13	2.2553	4.0
evolution	272	178	246	163	5.33	2.4362	2.12	2.2529	4.0
comparison	187	177	184	174	3.67	2.2742	2.11	2.2504	4.0
references	209	177	203	173	4.1	2.3222	2.11	2.2504	4.0
category	207	175	204	172	4.06	2.3181	2.09	2.2455	4.0
indicated	203	175	201	174	3.98	2.3096	2.09	2.2455	4.0
Colorado	322	174	0	0	6.31	2.5092	2.07	2.243	4.0
sensational	205	174	177	153	4.02	2.3139	2.07	2.243	4.0
industrial	233	173	211	157	4.57	2.3692	2.06	2.2405	4.0
Mississippi	339	173	14	1	6.65	2.5315	2.06	2.2405	4.0
competitive	214	172	211	171	4.2	2.3324	2.05	2.238	4.0
Victoria	375	172	23	4	7.35	2.5752	2.05	2.238	4.0
occupation	210	170	170	140	4.12	2.3243	2.03	2.233	4.0
idiotic	198	169	193	165	3.88	2.2989	2.01	2.2304	4.0
artillery	280	167	253	154	5.49	2.4487	1.99	2.2253	4.0
consolation	186	167	184	166	3.65	2.2718	1.99	2.2253	4.0
indication	181	167	180	166	3.55	2.2601	1.99	2.2253	4.0
Pennsylvania	239	166	3	2	4.69	2.3802	1.98	2.2227	4.0
sacrifices	196	166	185	164	3.84	2.2945	1.98	2.2227	4.0
sympathetic	194	166	189	162	3.8	2.29	1.98	2.2227	4.0
disappearance	220	165	217	164	4.31	2.3444	1.97	2.2201	4.0
Alexander	485	163	0	0	9.51	2.6866	1.94	2.2148	4.0
insensitive	191	163	186	160	3.75	2.2833	1.94	2.2148	4.0
spontaneous	213	163	193	150	4.18	2.3304	1.94	2.2148	4.0
videotape	264	163	255	160	5.18	2.4232	1.94	2.2148	4.0
activated	220	162	212	158	4.31	2.3444	1.93	2.2122	4.0
conservative	192	162	168	143	3.76	2.2856	1.93	2.2122	4.0
generator	290	162	276	155	5.69	2.4639	1.93	2.2122	4.0
legendary	205	162	190	155	4.02	2.3139	1.93	2.2122	4.0
presidential	285	162	219	132	5.59	2.4564	1.93	2.2122	4.0
prosecutor	366	162	300	152	7.18	2.5647	1.93	2.2122	4.0
secondary	209	162	188	150	4.1	2.3222	1.93	2.2122	4.0
regularly	172	161	167	156	3.37	2.238	1.92	2.2095	4.0
fascinated	178	160	176	159	3.49	2.2529	1.91	2.2068	4.0
diagnosis	219	159	203	145	4.29	2.3424	1.9	2.2041	4.0
disappointing	175	159	161	146	3.43	2.2455	1.9	2.2041	4.0
kindergarten	195	159	184	149	3.82	2.2923	1.9	2.2041	4.0
machinery	187	159	172	153	3.67	2.2742	1.9	2.2041	4.0
notorious	189	159	169	146	3.71	2.2788	1.9	2.2041	4.0
Carolina	316	157	1	1	6.2	2.5011	1.87	2.1987	4.0
manipulate	177	157	170	152	3.47	2.2504	1.87	2.1987	4.0
significance	178	157	177	156	3.49	2.2529	1.87	2.1987	4.0
unreasonable	194	157	189	156	3.8	2.29	1.87	2.1987	4.0
circulation	185	155	173	149	3.63	2.2695	1.85	2.1931	4.0
conditioning	196	155	191	154	3.84	2.2945	1.85	2.1931	4.0
difficulties	175	155	173	154	3.43	2.2455	1.85	2.1931	4.0
incompetent	194	155	186	149	3.8	2.29	1.85	2.1931	4.0
optimistic	173	155	169	152	3.39	2.2405	1.85	2.1931	4.0
virginity	199	155	189	151	3.9	2.301	1.85	2.1931	4.0
considerate	175	154	171	152	3.43	2.2455	1.84	2.1903	4.0
independence	204	154	167	126	4.0	2.3118	1.84	2.1903	4.0
morality	189	154	177	148	3.71	2.2788	1.84	2.1903	4.0
babysitter	236	153	225	149	4.63	2.3747	1.82	2.1875	4.0
Canadian	254	153	7	7	4.98	2.4065	1.82	2.1875	4.0
Columbia	249	153	4	4	4.88	2.3979	1.82	2.1875	4.0
dedication	173	153	168	150	3.39	2.2405	1.82	2.1875	4.0
encouraging	165	153	159	148	3.24	2.2201	1.82	2.1875	4.0
appreciates	159	152	158	151	3.12	2.2041	1.81	2.1847	4.0
incapable	173	152	168	148	3.39	2.2405	1.81	2.1847	4.0
potentially	171	152	158	140	3.35	2.2355	1.81	2.1847	4.0
relatively	166	152	155	144	3.25	2.2227	1.81	2.1847	4.0
apologized	183	151	181	149	3.59	2.2648	1.8	2.1818	4.0
Napoleon	317	151	0	0	6.22	2.5024	1.8	2.1818	4.0
marijuana	271	150	234	135	5.31	2.4346	1.79	2.179	4.0
surprisingly	162	149	117	110	3.18	2.2122	1.78	2.1761	4.0
celebrities	182	148	162	133	3.57	2.2625	1.76	2.1732	4.0
mechanism	190	148	186	144	3.73	2.281	1.76	2.1732	4.0
operated	166	148	163	146	3.25	2.2227	1.76	2.1732	4.0
intervention	186	147	186	147	3.65	2.2718	1.75	2.1703	4.0
